1.350041,0.631974,1.944373,-1.317430,-1.789641,3.092790
1.936716,-0.182978,-2.535399,-2.383032,-0.937477,1.350196
-2.022003,-0.041661,1.660556,0.676901,1.172653,1.426391
-0.090756,-1.010655,-1.659646,-2.317342,2.042616,-1.938317
-0.556217,-2.167900,3.059099,3.063728,2.864743,1.097680
-1.329011,-0.160138,-2.188272,-0.521384,-2.028589,-1.369300
0.224235,2.486716,-2.037411,0.451844,1.509549,-2.222986
2.081233,-2.601712,1.244022,-2.618720,-1.839253,1.618759
-2.353264,1.768561,-2.746450,2.910148,0.671084,1.601966
0.127939,-2.760841,1.456589,1.695996,2.901771,-1.668651
-0.367772,0.749577,2.157246,0.805735,2.964497,-0.972008
-0.474390,-1.560518,0.360795,2.683613,-2.882328,3.046809
0.202954,-2.258902,2.924228,0.867619,-2.939198,3.111425
-0.645155,-1.025261,1.455385,0.984357,2.496930,2.982019
-0.069842,-1.710646,1.792205,1.369632,3.072224,2.992076
0.044403,-1.282709,1.205459,1.452365,-3.097383,2.945438
0.009081,-1.263603,1.043955,1.634799,-3.132687,2.985796
0.009739,-1.242260,0.882639,1.944293,-3.131972,-3.127717
0.009773,-1.222483,0.862793,1.930268,-3.131821,3.141374
0.009772,-1.222161,0.861953,1.931005,-3.131821,3.141593
